Jahr;Monat;Monatname;COICOP10;Produkt;VPI
2020;MONAT05;Mai;CC13-0561103100;Geschirrspülmittel;102.6
2020;MONAT05;Mai;CC13-0561105100;Sanitärreiniger;100.9
2020;MONAT05;Mai;CC13-0561105200;Glasreiniger, Möbelpflegemittel o.a. Pflegemittel;100.3
2020;MONAT05;Mai;CC13-0561105300;Allzweckreiniger o.a. Fußbodenreinigungsmittel;101.7
2020;MONAT05;Mai;CC13-0561107100;Schuhcreme oder anderes Schuhpflegemittel;100.6
2020;MONAT05;Mai;CC13-0561211100;Filterpapier, Pappbecher oder Ähnliches;101.1
2020;MONAT05;Mai;CC13-0561211200;Alufolie, Klarsichtfolie oder Ähnliches;101.6
2020;MONAT05;Mai;CC13-0561241100;Kerzen;100.7
2020;MONAT05;Mai;CC13-0561243100;Nägel, Schrauben oder Ähnliches;102.1
2020;MONAT05;Mai;CC13-0561249200;Klebstoff, Zündhölzer oder Ähnliches;101.2
2020;MONAT05;Mai;CC13-0561291000;Bürsten, Besen oder andere Reinigungsartikel;101.4
2020;MONAT05;Mai;CC13-0562100100;Dienstleistungen von Hauspersonal;98.1
2020;MONAT05;Mai;CC13-0562200100;Reinigung von Teppichen, Haushaltswäsche o.Ä.;100.6
2020;MONAT05;Mai;CC13-0562900200;Dienstleistung für die Haushaltsführung;99.5
2020;MONAT05;Mai;CC13-0611030100;Rezeptpflichtige Medikamente, GKV;100.2
2020;MONAT05;Mai;CC13-0611030200;Rezeptpflichtige Medikamente, PKV;101.3
2020;MONAT05;Mai;CC13-0611031000;Rezeptfreie Medikamente;102.1
2020;MONAT05;Mai;CC13-0611032100;Melissengeist, Gesundheitsbäder oder Ähnliches;100.1
2020;MONAT05;Mai;CC13-0612100100;Schwangerschaftstest oder Kondome;101.3
2020;MONAT05;Mai;CC13-0612903100;Wundpflaster oder andere Verbandstoffe;100.9
2020;MONAT05;Mai;CC13-0612905100;Fieberthermometer, Wärmflasche oder Ähnliches;100.3
2020;MONAT05;Mai;CC13-0613101000;Brille, Brillengläser oder Kontaktlinsen;100.5
2020;MONAT05;Mai;CC13-0613201000;Hörhilfen;100.4
2020;MONAT05;Mai;CC13-0613300000;Reparatur von Zahnersatz;101.7
2020;MONAT05;Mai;CC13-0613906100;Blutdruckmessgerät oder Ähnliches;100.6
2020;MONAT05;Mai;CC13-0613909100;Gehhilfe oder Alltagshilfe;101.2
2020;MONAT05;Mai;CC13-0621105100;Ärztliche Dienstleistungen der Allgemeinmedizin;100
2020;MONAT05;Mai;CC13-0621205000;Ärztliche Dienstl. der Fachmedizin, einschl. IGeL;100
2020;MONAT05;Mai;CC13-0622014000;Zahnärztliche Dienstleistungen;102.2
2020;MONAT05;Mai;CC13-0623102100;Laborleistungen und Strahlendiagnostik;100
2020;MONAT05;Mai;CC13-0623201000;Physiotherapie;99.8
2020;MONAT05;Mai;CC13-0623901000;Häusliche Krankenpflege o. Heilpraktikerleistungen;100
2020;MONAT05;Mai;CC13-0630010000;Stationäre Gesundheitsdienstleistungen;100.1
2020;MONAT05;Mai;CC13-0711100100;Neuer Pkw;101
2020;MONAT05;Mai;CC13-0711200100;Gebrauchter Pkw;100
2020;MONAT05;Mai;CC13-0712001100;E-Bike oder Pedelec;100.7
2020;MONAT05;Mai;CC13-0712003000;Krafträder ohne E-Bike oder Pedelec;101.2
2020;MONAT05;Mai;CC13-0713000100;Fahrrad;100.5
2020;MONAT05;Mai;CC13-0721111200;Pkw-Reifen;101.4
2020;MONAT05;Mai;CC13-0721129100;Reifen oder Schlauch für Fahrräder;102
2020;MONAT05;Mai;CC13-0721211100;Autobatterie;101.1
2020;MONAT05;Mai;CC13-0721212200;Wischerblätter o.a. Einzel- und Ersatzteil für Pkw;102.3
2020;MONAT05;Mai;CC13-0721216100;Autowachs, Lackpflegemittel oder Ähnliches;97.5
2020;MONAT05;Mai;CC13-0721220100;Sattel oder anderes Ersatzteil für Fahrräder;101.3
2020;MONAT05;Mai;CC13-0721311100;Navigationssystem;100
2020;MONAT05;Mai;CC13-0721319100;Automatten, Warndreieck o.a. Zubehör für Fahrzeuge;101.2
2020;MONAT05;Mai;CC13-0721320100;Zubehör für Fahrräder;103.5
2020;MONAT05;Mai;CC13-0722100100;Diesel, unter 60 Cetan;94.1
2020;MONAT05;Mai;CC13-0722100300;Diesel, 60 und mehr Cetan;95
2020;MONAT05;Mai;CC13-0722201100;Superbenzin, 95 Oktan;92.6
2020;MONAT05;Mai;CC13-0722204300;Superbenzin-plus;93.4
2020;MONAT05;Mai;CC13-0722301100;Autogas;100.6
2020;MONAT05;Mai;CC13-0722401100;Motorenöl;101.2
2020;MONAT05;Mai;CC13-0723011100;Pkw-Wäsche;100.1
2020;MONAT05;Mai;CC13-0723012100;Pkw-Inspektion;100.5
2020;MONAT05;Mai;CC13-0723012200;Wechseln der Bremsflüssigkeit bei Pkw;100.9
2020;MONAT05;Mai;CC13-0723014100;Fahrradinspektion;100.4
2020;MONAT05;Mai;CC13-0723021000;Pkw-Reparatur;100.3
2020;MONAT05;Mai;CC13-0724101200;Miete für Garage oder Stellplatz;100.1
2020;MONAT05;Mai;CC13-0724105100;Mietwagen;100.1
2020;MONAT05;Mai;CC13-0724105200;Carsharing;100.3
2020;MONAT05;Mai;CC13-0724201100;Straßenbenutzungsgebühr oder Ähnliches;100
2020;MONAT05;Mai;CC13-0724205000;Parkgebühr;99.6
2020;MONAT05;Mai;CC13-0724310100;Fahrschulunterricht für Pkw, Praxis;98.9
2020;MONAT05;Mai;CC13-0724310200;Fahrschulunterricht für Pkw, Theorie;98.2
2020;MONAT05;Mai;CC13-0724310300;Führerscheingebühr für Pkw;100
2020;MONAT05;Mai;CC13-0724321100;Zulassungsgebühr für Kraftfahrzeuge;100
2020;MONAT05;Mai;CC13-0724323100;Kraftfahrzeugsteuer;99.9
2020;MONAT05;Mai;CC13-0724329100;Hauptuntersuchung für Kraftfahrzeuge;101.2
2020;MONAT05;Mai;CC13-0724329200;Abgasuntersuchung für Kraftfahrzeuge;101.3
2020;MONAT05;Mai;CC13-0731111200;Bahnfahrt, Allgemeiner Nahverkehr;102
2020;MONAT05;Mai;CC13-0731112100;Bahnfahrt, Nahverkehr, Job- oder Schülerticket;101.4
2020;MONAT05;Mai;CC13-0731121200;Bahnfahrt, Allgemeiner Fernverkehr;105.2
2020;MONAT05;Mai;CC13-0731121300;Bahnfahrt, Fernverkehr, Job- oder Schülerticket;100.8
2020;MONAT05;Mai;CC13-0732102100;Fahrkarte für Fernbus;.
2020;MONAT05;Mai;CC13-0732201100;Taxifahrt;.
2020;MONAT05;Mai;CC13-0733100200;Flugticket, Inland, Business;102.7
2020;MONAT05;Mai;CC13-0733100300;Flugticket, Inland, Economy;97.2
2020;MONAT05;Mai;CC13-0733200310;Flugticket, europäisches Ausland, Business;108.5
2020;MONAT05;Mai;CC13-0733200320;Flugticket, europäisches Ausland, Economy;106.6
2020;MONAT05;Mai;CC13-0733200410;Flugticket, Afrika, Business;103
2020;MONAT05;Mai;CC13-0733200420;Flugticket, Afrika, Economy;99.4
2020;MONAT05;Mai;CC13-0733200510;Flugticket, Nordamerika, Business;105.5
2020;MONAT05;Mai;CC13-0733200520;Flugticket, Nordamerika, Economy;96.5
2020;MONAT05;Mai;CC13-0733200610;Flugticket, Mittelamerika, Business;108.5
2020;MONAT05;Mai;CC13-0733200620;Flugticket, Mittelamerika, Economy;88.7
2020;MONAT05;Mai;CC13-0733200710;Flugticket, Südamerika, Business;99.8
2020;MONAT05;Mai;CC13-0733200720;Flugticket, Südamerika, Economy;93.5
2020;MONAT05;Mai;CC13-0733200810;Flugticket, Asien/Australien, Business;104.4
2020;MONAT05;Mai;CC13-0733200820;Flugticket, Asien/Australien, Economy;97.4
2020;MONAT05;Mai;CC13-0734100100;Hochseeschifffahrt oder Küstenschifffahrt;84.9
2020;MONAT05;Mai;CC13-0734200100;Binnenschifffahrt;100.5
2020;MONAT05;Mai;CC13-0735011000;Einzel- oder Tageskarte Verbundverkehr, Erwachsene;100
2020;MONAT05;Mai;CC13-0735013100;Zeitkarte Verbundverkehr, Ausbildungstarif;100.2
2020;MONAT05;Mai;CC13-0735015000;Monatskarte Verbundverkehr, Erwachsene;100
2020;MONAT05;Mai;CC13-0736200100;Möbeltransport;100.1
2020;MONAT05;Mai;CC13-0810100200;Briefdienstleistungen;100
2020;MONAT05;Mai;CC13-0810900100;Paketdienstleistungen;98.8
2020;MONAT05;Mai;CC13-0820100300;Festnetztelefon;100.4
2020;MONAT05;Mai;CC13-0820200200;Mobiltelefon ohne Vertrag;101.9
2020;MONAT05;Mai;CC13-0820300100;Smartwatch, Fitness Tracker oder Ähnliches;103.8
2020;MONAT05;Mai;CC13-0820400100;Reparatur von Telefonen;99.7
2020;MONAT05;Mai;CC13-0830100200;Drahtgebundene Telekommunikationsdienstleistungen;101.3
2020;MONAT05;Mai;CC13-0830200100;Drahtlose Telekommunikationsdienstleistungen;101.4
2020;MONAT05;Mai;CC13-0830300100;Zugang zu Onlinediensten und zum Internet;101.4
2020;MONAT05;Mai;CC13-0830400100;Kombinierte Telekommunikationsdienstleistungen;101.4
2020;MONAT05;Mai;CC13-0911112000;Radio, ohne Autoradio;99.6
2020;MONAT05;Mai;CC13-0911141000;Hifi-Anlage, Lautsprecherboxen oder Ähnliches;102.1
2020;MONAT05;Mai;CC13-0911150100;Autoradio oder kombiniert mit Navigationsgerät;102.7
2020;MONAT05;Mai;CC13-0911210200;Fernsehgerät;101.1
2020;MONAT05;Mai;CC13-0911220100;Festplattenrecorder;101.9
2020;MONAT05;Mai;CC13-0911220200;DVD-Player oder Blu-ray-Player;99
2020;MONAT05;Mai;CC13-0911240200;Heimkino-Anlage;102.4
2020;MONAT05;Mai;CC13-0911250100;SAT-Anlage;101
2020;MONAT05;Mai;CC13-0911300100;MP3-Player oder Ähnliches;102.2
2020;MONAT05;Mai;CC13-0911901100;Kopfhörer;99
2020;MONAT05;Mai;CC13-0911909100;E-Book-Reader oder digitaler Bilderrahmen;101.1
2020;MONAT05;Mai;CC13-0912113100;Digitale Kamera;96.6
2020;MONAT05;Mai;CC13-0912120100;Digitaler Camcorder;104.2
2020;MONAT05;Mai;CC13-0912210300;Zoomobjektiv oder Ähnliches;100.7
2020;MONAT05;Mai;CC13-0912310200;Fernglas oder andere optische Geräte;99.4
2020;MONAT05;Mai;CC13-0913110100;Desktop-PC;102.4
2020;MONAT05;Mai;CC13-0913120100;Tragbarer Computer;101.1
2020;MONAT05;Mai;CC13-0913221300;Laserdrucker oder Tintenstrahldrucker;100
2020;MONAT05;Mai;CC13-0913225100;Scanner;104.9
2020;MONAT05;Mai;CC13-0913229200;Festplatte;103
2020;MONAT05;Mai;CC13-0913229300;Tastatur, Maus oder anderes Zubehör für PC;96.8
2020;MONAT05;Mai;CC13-0913230400;Monitor;104.3
2020;MONAT05;Mai;CC13-0913309100;Betriebssystem oder andere Computersoftware;102.6
2020;MONAT05;Mai;CC13-0914110000;Musik-CD oder Hörbuch;100.3
2020;MONAT05;Mai;CC13-0914120100;Film auf DVD oder Blu-ray;119.2
2020;MONAT05;Mai;CC13-0914140100;Musikdownload;101.6
2020;MONAT05;Mai;CC13-0914150100;Musik-Stream;101.5
2020;MONAT05;Mai;CC13-0914210000;CD-Rohlinge, Blu-ray Rohlinge oder Ähnliches;100.4
2020;MONAT05;Mai;CC13-0914910000;Speicherkarte oder USB-Stick;104.1
2020;MONAT05;Mai;CC13-0914990100;Fotoalbum oder Fotobuch zum Selbstgestalten;101.3
2020;MONAT05;Mai;CC13-0915000100;Reparatur an Unterhaltungselektronik;99.9
2020;MONAT05;Mai;CC13-0921101100;Wohnmobil;100.4
2020;MONAT05;Mai;CC13-0921102100;Wohnwagen;101.2
2020;MONAT05;Mai;CC13-0921103100;Anhänger für Kraftwagen;99.8
2020;MONAT05;Mai;CC13-0921302100;Außenbordmotor;100.9
2020;MONAT05;Mai;CC13-0921402100;Pferdegeschirr, Zügel, Sattel oder Ähnliches;102.3
2020;MONAT05;Mai;CC13-0921500100;Kanu oder Surfbrett;100.2
2020;MONAT05;Mai;CC13-0922111000;Musikinstrumente, einschließlich Zubehör;101.1
2020;MONAT05;Mai;CC13-0923001100;Veterinärleistung für Freizeitpferde und Ponys;101.3
2020;MONAT05;Mai;CC13-0931101100;Gesellschaftsspiel;103.3
2020;MONAT05;Mai;CC13-0931102100;PC-Spiel;95.4
2020;MONAT05;Mai;CC13-0931102200;Spielekonsole;98.3
2020;MONAT05;Mai;CC13-0931102300;Spiel für Spielekonsole;106.1
2020;MONAT05;Mai;CC13-0931201100;Puppe;99.8
2020;MONAT05;Mai;CC13-0931202100;Dreirad, Roller oder anderes Kindersportfahrzeug;100.7
2020;MONAT05;Mai;CC13-0931203100;Teddybär oder anderes Kuscheltier;101.2
2020;MONAT05;Mai;CC13-0931204000;Baukasten, Experimentierkasten oder Modellbausatz;101.8
2020;MONAT05;Mai;CC13-0931206100;Elektrische Modelleisenbahn o. Modellspielzeugauto;100.3
2020;MONAT05;Mai;CC13-0931206200;Kaufladen, Puppenhaus oder anderes Spielzeug;101.5
2020;MONAT05;Mai;CC13-0931207200;Dekorationsartikel für Feste;100.2
2020;MONAT05;Mai;CC13-0932111100;Fußball oder anderer Sportball;99
2020;MONAT05;Mai;CC13-0932112100;Ski, Snowboard oder anderer Wintersportartikel;101
2020;MONAT05;Mai;CC13-0932113100;Schläger, Bälle, Netz für Tennis oder Ähnliches;100.5
2020;MONAT05;Mai;CC13-0932118100;Inline-Skates, Schlittschuhe oder Rollschuhe;101.7
2020;MONAT05;Mai;CC13-0932118200;Fußballschuhe oder andere Spezialsportschuhe;101.3
2020;MONAT05;Mai;CC13-0932119100;Planschbecken, Taucherbrille oder Ähnliches;101
2020;MONAT05;Mai;CC13-0932124100;Fitnessgerät;104.1
2020;MONAT05;Mai;CC13-0932201000;Grill, Schlafsack, Zelt oder andere Campingartikel;101.6
2020;MONAT05;Mai;CC13-0933101100;Blumendünger, Rasendünger oder andere Düngemittel;100.6
2020;MONAT05;Mai;CC13-0933102200;Garten- und Blumenerde, Torf oder Ähnliches;101
2020;MONAT05;Mai;CC13-0933103100;Blumentopf, Blumenkasten oder Rankhilfe;101.6
2020;MONAT05;Mai;CC13-0933200100;Zimmerblume oder Zimmerpflanze;101.5
2020;MONAT05;Mai;CC13-0933200200;Beetpflanze, Gehölz, Freilandstaude oder Ähnliches;99.3
2020;MONAT05;Mai;CC13-0933221200;Schnittblumen;101.5
2020;MONAT05;Mai;CC13-0933229100;Gebühr für Blumen- oder Pflanzenzulieferung;99.6
2020;MONAT05;Mai;CC13-0934100100;Wellensittich, Zierfisch oder anderes Haustier;99.3
2020;MONAT05;Mai;CC13-0934201200;Vogelfutter;100.5
2020;MONAT05;Mai;CC13-0934201400;Hundefutter oder Katzenfutter;101.5
2020;MONAT05;Mai;CC13-0934202100;Futternapf, Vogelkäfig oder Ähnliches;101.2
2020;MONAT05;Mai;CC13-0934208100;Arzneimittel für Haustiere;102.6
2020;MONAT05;Mai;CC13-0934209100;Katzenstreu, Vogelsand oder Ähnliches;101.2
2020;MONAT05;Mai;CC13-0935001100;Tierärztliche Dienstleistung;101.3
2020;MONAT05;Mai;CC13-0935002100;Andere Dienstleistung für Haustiere;101.3
2020;MONAT05;Mai;CC13-0941101100;Besuch einer Sportveranstaltung;99.6
2020;MONAT05;Mai;CC13-0941102100;Besuch eines Vergnügungsparks;108.4
2020;MONAT05;Mai;CC13-0941210100;Besuch eines Schwimmbads;98.7
2020;MONAT05;Mai;CC13-0941220100;Gebühr für Fitnessstudio;100.2
2020;MONAT05;Mai;CC13-0941251100;Fahrt mit Seilbahn oder Skilift;96.4
2020;MONAT05;Mai;CC13-0941259100;Fischereiberechtigungsschein oder Ähnliches;99.2
2020;MONAT05;Mai;CC13-0941261100;Musikunterricht;99.9
2020;MONAT05;Mai;CC13-0942101100;Kinobesuch;101
2020;MONAT05;Mai;CC13-0942102000;Besuch von Oper, Musical oder Ähnlichem;101
2020;MONAT05;Mai;CC13-0942103000;Besuch eines Schauspiels;100.3
2020;MONAT05;Mai;CC13-0942200100;Museumsbesuch, Zoobesuch oder Ähnliches;99
2020;MONAT05;Mai;CC13-0942310200;Rundfunkbeitrag;100
2020;MONAT05;Mai;CC13-0942321100;Kabelgebühr;100.2
2020;MONAT05;Mai;CC13-0942323100;Gebühr für Pay-TV oder Video on Demand;95.4
2020;MONAT05;Mai;CC13-0942500000;Dienstleistungen von Fotolabors oder Ähnliches;100.8
2020;MONAT05;Mai;CC13-0943000100;Entgelt für Glücksspiele;96.6
2020;MONAT05;Mai;CC13-0951101000;Belletristik;99.1
2020;MONAT05;Mai;CC13-0951102000;Kinderbuch oder Jugendbuch;95.9
2020;MONAT05;Mai;CC13-0951200100;Schulbuch oder Lehrbuch;100
2020;MONAT05;Mai;CC13-0951301000;Sachbuch;100.7
2020;MONAT05;Mai;CC13-0951304100;Reiseführer;99.9
2020;MONAT05;Mai;CC13-0951309100;Noten;99.8
2020;MONAT05;Mai;CC13-0951402100;E-Book-Download;102.5
2020;MONAT05;Mai;CC13-0952111000;Tageszeitung;99.6
2020;MONAT05;Mai;CC13-0952112000;Wochenzeitung;97.5
2020;MONAT05;Mai;CC13-0952201000;Zeitschrift;99.9
2020;MONAT05;Mai;CC13-0953001100;Ansichtskarte oder Glückwunschkarte;100.6
2020;MONAT05;Mai;CC13-0953002100;Kalender;103
2020;MONAT05;Mai;CC13-0953003100;Landkarte, Straßenkarte oder Wanderkarte;99.9
2020;MONAT05;Mai;CC13-0954101100;Briefumschläge, Briefblock oder Briefpapier;100.9
2020;MONAT05;Mai;CC13-0954105100;Schulheft, Malblock oder Zeichenblock;102.7
2020;MONAT05;Mai;CC13-0954109100;Druckerpapier;101.2
2020;MONAT05;Mai;CC13-0954921000;Füllhalter, Kugelschreiber, Füllerpatronen o.Ä.;101.2
2020;MONAT05;Mai;CC13-0954923000;Bleistift, Farbstift, Farbkasten oder Ähnliches;103.3
2020;MONAT05;Mai;CC13-0954925100;Aktenordner, Locher oder anderer Büroartikel;100.8
2020;MONAT05;Mai;CC13-0954925300;Druckerpatrone;100.4
2020;MONAT05;Mai;CC13-0960100100;Pauschalreise im Inland;110.5
2020;MONAT05;Mai;CC13-0960200210;Pauschalreise, Kanaren;88.4
2020;MONAT05;Mai;CC13-0960200220;Pauschalreise, Balearen;95.3
2020;MONAT05;Mai;CC13-0960200230;Pauschalreise, Türkei;101.5
2020;MONAT05;Mai;CC13-0960200240;Pauschalreise, Griechenland;95.2
2020;MONAT05;Mai;CC13-0960200250;Pauschalreise, Ägypten;96.6
2020;MONAT05;Mai;CC13-0960200300;Pauschalreise, andere Länder, Städte o. Kreuzfahrt;96.2
2020;MONAT05;Mai;CC13-1010101100;Entgelt für Tagesbetreuung, Kind unter 3 Jahren;100.4
2020;MONAT05;Mai;CC13-1010102100;Entgelt für Tagesbetreuung, Kind ab 3 Jahren;100.1
2020;MONAT05;Mai;CC13-1010200100;Entgelt für Grundschule oder Klasse 1 - 4;99.6
2020;MONAT05;Mai;CC13-1020000100;Entgelt für weiterführende Schule;99.9
2020;MONAT05;Mai;CC13-1040020200;Studiengebühr und/oder Immatrikulationsgebühr;99.3
2020;MONAT05;Mai;CC13-1050010200;Entgelt für Erwachsenenbildung;99.8
2020;MONAT05;Mai;CC13-1050020100;Nachhilfeunterricht;99.8
2020;MONAT05;Mai;CC13-1111111000;Verzehr eines Frühstücks oder Brunchs;100
2020;MONAT05;Mai;CC13-1111112000;Verzehr einer Vorspeise;100
2020;MONAT05;Mai;CC13-1111113000;Verzehr einer Hauptspeise;100.1
2020;MONAT05;Mai;CC13-1111120000;Verzehr einer Nachspeise ;100.4
2020;MONAT05;Mai;CC13-1111140000;Verzehr eines alkoholischen Getränks;99.7
2020;MONAT05;Mai;CC13-1111150000;Verzehr eines alkoholfreien Getränks;99.6
2020;MONAT05;Mai;CC13-1111201000;Verzehr im Fastfoodrestaurant;100.2
2020;MONAT05;Mai;CC13-1111203000;Speise oder Getränk zum Mitnehmen;99.7
2020;MONAT05;Mai;CC13-1111205100;Mahlzeit oder Imbiss vom Lieferservice;99.6
2020;MONAT05;Mai;CC13-1112000000;Speise und Getränk in Kantine oder Mensa;99.6
2020;MONAT05;Mai;CC13-1120110000;Übernachtung in Hotel, Pension oder Ähnlichem;101
2020;MONAT05;Mai;CC13-1120120200;Miete für Ferienwohnung oder Ferienhaus;99.7
2020;MONAT05;Mai;CC13-1120201100;Campingplatzgebühr;101.6
2020;MONAT05;Mai;CC13-1120201300;Übernachtung auf Wohnmobilstellplatz;101.7
2020;MONAT05;Mai;CC13-1120203100;Übernachtung in Jugendherbergen;101.1
2020;MONAT05;Mai;CC13-1120309100;Übernachtung im Studentenwohnheim oder Ähnliches;100.1
2020;MONAT05;Mai;CC13-1211101100;Friseur für Herren;100.2
2020;MONAT05;Mai;CC13-1211102100;Friseur für Kinder;99.7
2020;MONAT05;Mai;CC13-1211201000;Friseur für Damen;100.3
2020;MONAT05;Mai;CC13-1211301100;Gesichtskosmetik;99.1
2020;MONAT05;Mai;CC13-1211303100;Gebühr für Solarium;99.5
2020;MONAT05;Mai;CC13-1211304100;Maniküre, Sauna o.a. Dienstl. für Körperpflege;99.7
2020;MONAT05;Mai;CC13-1212101100;Elektrischer Rasierapparat;99.8
2020;MONAT05;Mai;CC13-1212102100;Haartrockner oder anderes Haarpflegegerät;101.9
2020;MONAT05;Mai;CC13-1212103100;Elektrische Zahnbürste;100.5
2020;MONAT05;Mai;CC13-1213102100;Haarbürste, Kamm, Haarspange oder Ähnliches;101.7
2020;MONAT05;Mai;CC13-1213105100;Personenwaage;101.3
2020;MONAT05;Mai;CC13-1213105200;Zahnbürste, nicht elektrisch;102
2020;MONAT05;Mai;CC13-1213105300;Nassrasierer, Rasierklingen oder Ähnliches;101.5
2020;MONAT05;Mai;CC13-1213211100;Haarshampoo;102.1
2020;MONAT05;Mai;CC13-1213212100;Haarspray, Haargel oder Ähnliches;103.1
2020;MONAT05;Mai;CC13-1213212200;Haarfarbe oder Haartönung;101.5
2020;MONAT05;Mai;CC13-1213213100;Zahncreme;101.6
2020;MONAT05;Mai;CC13-1213214100;Mundwasser, Zahnseide oder Ähnliches;100.2
2020;MONAT05;Mai;CC13-1213215100;Rasierwasser, Rasierschaum oder Ähnliches;101.8
2020;MONAT05;Mai;CC13-1213216100;Feinseife;103
2020;MONAT05;Mai;CC13-1213217100;Duschgel, Duschbad oder Badezusatz;102.3
2020;MONAT05;Mai;CC13-1213221100;Toilettenpapier;102.7
2020;MONAT05;Mai;CC13-1213222100;Papiertaschentücher;102
2020;MONAT05;Mai;CC13-1213223200;Windeln für Säuglinge oder Kleinkinder;102.1
2020;MONAT05;Mai;CC13-1213229100;Tampons, Kosmetiktücher oder andere Hygieneartikel;102.2
2020;MONAT05;Mai;CC13-1213229300;Inkontinenzprodukt;101.4
2020;MONAT05;Mai;CC13-1213231100;Eau de Toilette oder Parfüm;101.5
2020;MONAT05;Mai;CC13-1213232100;Lippenstift oder Lippenpflegestift;100.6
2020;MONAT05;Mai;CC13-1213232200;Nagellack;100.2
2020;MONAT05;Mai;CC13-1213232300;Make-up;101.3
2020;MONAT05;Mai;CC13-1213232400;Kajalstift oder Mascara;101.3
2020;MONAT05;Mai;CC13-1213233100;Handcreme;101.4
2020;MONAT05;Mai;CC13-1213233200;Tagescreme oder Nachtcreme;101.9
2020;MONAT05;Mai;CC13-1213233300;Kindercreme;101.1
2020;MONAT05;Mai;CC13-1213240100;Deospray oder Deoroller;101.2
2020;MONAT05;Mai;CC13-1231101100;Schmuck aus Kunststoff, Glas oder Ähnlichem;98
2020;MONAT05;Mai;CC13-1231102100;Schmuck aus Edelmetall;100.1
2020;MONAT05;Mai;CC13-1231201100;Armbanduhr oder Taschenuhr;101.1
2020;MONAT05;Mai;CC13-1231209100;Wecker, Wanduhr oder Ähnliches;100.8
2020;MONAT05;Mai;CC13-1231300100;Reparatur einer Uhr oder von Schmuck;100.4
2020;MONAT05;Mai;CC13-1232101100;Koffer, Reisetasche oder Ähnliches;101.3
2020;MONAT05;Mai;CC13-1232102100;Handtasche oder Umhängetasche;102.2
2020;MONAT05;Mai;CC13-1232103100;Aktenkoffer, Aktentasche oder Aktenmappe;101.7
2020;MONAT05;Mai;CC13-1232105100;Schulranzen oder Schulrucksack;101.5
2020;MONAT05;Mai;CC13-1232106100;Geldbörse, Ausweistasche oder Ähnliches;100.6
2020;MONAT05;Mai;CC13-1232109100;Einkaufs- und Sporttaschen, Rucksäcke o.Ä.;96.4
2020;MONAT05;Mai;CC13-1232201100;Kinderwagen oder Babytrage;101.1
2020;MONAT05;Mai;CC13-1232202100;Autokindersitz;103
2020;MONAT05;Mai;CC13-1232901100;Sarg, Urne, Grabstein oder andere Begräbnisartikel;100.6
2020;MONAT05;Mai;CC13-1232902100;Feuerzeug, Taschenmesser oder Ähnliches;100.6
2020;MONAT05;Mai;CC13-1232902200;Elektronische Zigarette, Einweg und Mehrweg;100.6
2020;MONAT05;Mai;CC13-1232904100;Schirm;101.8
2020;MONAT05;Mai;CC13-1232905100;Sonnenbrille;101.7
2020;MONAT05;Mai;CC13-1232907200;Wetterstation, Thermometer oder Ähnliches;102.1
2020;MONAT05;Mai;CC13-1240103100;Entgelt für Kinderbetreuung nach der Schule;99.9
2020;MONAT05;Mai;CC13-1240201100;Aufwendung für Altenwohnheim oder betreutes Wohnen;99.9
2020;MONAT05;Mai;CC13-1240203100;Stationäre Pflege, privat Versicherte;99.8
2020;MONAT05;Mai;CC13-1240203200;Stationäre Pflege, gesetzlich Versicherte;99.3
2020;MONAT05;Mai;CC13-1240300100;Ambulante Pflege, privat Versicherte;99.5
2020;MONAT05;Mai;CC13-1240300200;Ambulante Pflege, gesetzlich Versicherte;99.2
2020;MONAT05;Mai;CC13-1240300300;Essen auf Rädern;99.7
2020;MONAT05;Mai;CC13-1252000100;Beitrag zur Hausratversicherung;100.1
2020;MONAT05;Mai;CC13-1253200100;Beitrag zur privaten Krankenversicherung;99.9
2020;MONAT05;Mai;CC13-1253200200;Beitrag zur Unfallversicherung;100.1
2020;MONAT05;Mai;CC13-1254100100;Beitrag zur Kraftfahrzeugversicherung;99.5
2020;MONAT05;Mai;CC13-1254100200;Beitrag zur Verkehrsrechtsschutzversicherung;100.2
2020;MONAT05;Mai;CC13-1254200100;Beitrag zur Auslandsreisekrankenversicherung;100
2020;MONAT05;Mai;CC13-1255000100;Beitrag zur privaten Haftpflichtversicherung;99
2020;MONAT05;Mai;CC13-1255000200;Beitrag zur Rechtsschutzversicherung;100.2
2020;MONAT05;Mai;CC13-1262100100;Bank- oder Sparkassengebühr;99.3
2020;MONAT05;Mai;CC13-1262203100;Steuerberatergebühr;95.8
2020;MONAT05;Mai;CC13-1270101100;Gebühr für Geburtsurkunden, Sterbeurkunden o.Ä.;99.9
2020;MONAT05;Mai;CC13-1270102100;Passgebühr oder Ähnliches;100
2020;MONAT05;Mai;CC13-1270200100;Rechtsanwaltsgebühr oder Notargebühr;101.3
2020;MONAT05;Mai;CC13-1270300100;Bestattungsleistungen und Friedhofsgebühr;100.2
2020;MONAT05;Mai;CC13-1270402100;Kleinanzeige in einer Zeitung;99.7
2020;MONAT05;Mai;CC13-1270409100;Kurtaxe;109.2
2020;MONAT06;Juni;CC13-0111101100;Reis;101.7
2020;MONAT06;Juni;CC13-0111109100;Reiszubereitung;100.1
2020;MONAT06;Juni;CC13-0111201100;Weizenmehl;101.9
2020;MONAT06;Juni;CC13-0111203100;Grieß, Roggenmehl oder Ähnliches;101.5
2020;MONAT06;Juni;CC13-0111311100;Weißbrot;100.8
